edad,genero,ciudad,posicion,experiencia,nivel,tecnologia,salario,estado,contrato,idioma,tamaño_empresa
26,Male,Munich,Software Engineer,5,Senior,TypeScript,80000,Full-time employee,Unlimited contract,English,51-100
26,Male,Berlin,Backend Developer,7,Senior,Ruby,80000,Full-time employee,Unlimited contract,English,101-1000
28,Male,Berlin,Frontend Developer,4,Junior,JavaScript,54000,Full-time employee,Unlimited contract,English,51-100
37,Male,Berlin,Frontend Developer,6,Middle,JavaScript,57000,Full-time employee,Unlimited contract,English,11-50
24,Male,Berlin,Frontend Developer,5,Senior,TypeScript,65000,Full-time employee,Unlimited contract,English,1000+
29,Male,Berlin,Backend Developer,8,Senior,PHP,56000,Full-time employee,Unlimited contract,English,101-1000
35,Male,Berlin,Software Engineer,15,Lead,Java,95000,Full-time employee,Unlimited contract,English,101-1000
34,Male,Berlin,Software Engineer,14,Senior,TypeScript,70000,Full-time employee,Unlimited contract,English,11-50
31,Male,Wolfsburg,Backend Developer,5,Senior,Kotlin,75000,Full-time employee,Unlimited contract,English,101-1000
29,Male,Hamburg,Backend Developer,7,Middle,Ruby,60350,Full-time employee,Unlimited contract,English,1000+
27,Male,Berlin,Backend Developer,8,Senior,PHP,60000,Full-time employee,Unlimited contract,English,1000+
34,Male,Berlin,Mobile Developer,11,Lead,Kotlin,80000,Full-time employee,Unlimited contract,English,101-1000
34,Male,Berlin,Software Architect,15,Lead,NodeJS,100000,Full-time employee,Unlimited contract,English,1000+
25,Male,Berlin,Software Engineer,5,Senior,JavaScript,65000,Full-time employee,Unlimited contract,German,1000+
36,Male,Berlin,Software Engineer,17,Lead,PHP,70000,Full-time employee,Unlimited contract,English,101-1000
38,Male,Berlin,Otro,18,Lead,Swift,80000,Full-time employee,Unlimited contract,English,101-1000
24,Male,Berlin,DevOps,6,Senior,Kubernetes,75000,Full-time employee,Unlimited contract,English,101-1000
40,Male,Berlin,Product Manager,13,Senior,SQL,70000,Full-time employee,Unlimited contract,English,101-1000
29,Male,Berlin,Software Engineer,6,Lead,Go,85000,Full-time employee,Unlimited contract,English,101-1000
31,Male,Berlin,Backend Developer,5,Middle,Java,65000,Full-time employee,Unlimited contract,English,101-1000
39,Male,Berlin,Software Engineer,8,Senior,Java,80000,Full-time employee,Unlimited contract,English,51-100
27,Male,Berlin,Software Engineer,8,Middle,JavaScript,63000,Full-time employee,Unlimited contract,English,101-1000
30,Male,Berlin,Software Engineer,8,Senior,JavaScript,80000,Full-time employee,Unlimited contract,English,101-1000
28,Male,Berlin,Backend Developer,5,Senior,Kotlin,75000,Full-time employee,Unlimited contract,English,101-1000
29,Male,Berlin,Frontend Developer,7,Senior,React,72000,Full-time employee,Unlimited contract,English,1000+
32,Male,Berlin,Frontend Developer,10,Senior,TypeScript,105000,Self-employed (freelancer),Temporary contract,English,101-1000
30,Male,Berlin,Software Engineer,6,Senior,Java,74000,Full-time employee,Unlimited contract,English,1000+
32,Male,Berlin,Backend Developer,3,Middle,Java,77000,Full-time employee,Unlimited contract,English,101-1000
31,Male,Berlin,Software Engineer,7,Lead,Python,76000,Full-time employee,Unlimited contract,English,101-1000
35,Male,Berlin,Backend Developer,10,Senior,Ruby,75000,Full-time employee,Unlimited contract,English,101-1000
32,Male,Berlin,Backend Developer,8,Senior,PHP,65000,Full-time employee,Unlimited contract,English,11-50
44,Male,Berlin,Backend Developer,12,Senior,Java,68000,Full-time employee,Unlimited contract,English,11-50
35,Male,Munich,Software Engineer,11,Senior,PHP,65000,Full-time employee,Unlimited contract,German,101-1000
29,Male,Berlin,Software Engineer,5,Senior,Go,75000,Full-time employee,Unlimited contract,English,101-1000
39,Female,Berlin,Software Engineer,10,Senior,Java,70500,Full-time employee,Unlimited contract,German,101-1000
28,Male,Munich,Backend Developer,5,Senior,Kotlin,72000,Full-time employee,Unlimited contract,English,101-1000
34,Male,Munich,Software Engineer,13,Lead,.NET,72000,Full-time employee,Unlimited contract,English,51-100
32,Male,Munich,Frontend Developer,7,Senior,JavaScript,62000,Full-time employee,Unlimited contract,German,101-1000
36,Male,Munich,Backend Developer,15,Senior,Java,55000,Full-time employee,Unlimited contract,English,1000+
39,Male,Berlin,Software Engineer,10,Senior,C#,75000,Full-time employee,Unlimited contract,German,1000+
29,Male,Munich,Software Engineer,7,Senior,JavaScript,80000,Full-time employee,Unlimited contract,English,1000+
31,Male,Berlin,Engineering Manager,11,Lead,Java,80000,Full-time employee,Unlimited contract,English,101-1000
30,Male,Berlin,Backend Developer,5,Middle,Java,55000,Full-time employee,Unlimited contract,English,1000+
33,Male,Frankfurt,Software Engineer,4,Middle,Java,50000,Full-time employee,Unlimited contract,English,11-50
